Medication,Dosage,Description,NOTE,FOOD,BE_CAREFUL,DO_NOT_GIVE,SIDE_EFFECTS,INTERACTIONS,PREGANCY,BREAST_FEEDING,IMPORTANT,LENGTH_OF_TREATMENT ,Doxy_and_Children
Acyclovir,1 tab = 200 or 400 or 800 mg ,"Anti-viral: to treat Herpes Virus Diseases (Herpes Simplex, Herpes Zoster).","Treatment need to be started very soon after the symptoms. 
If started later than 24 hours in Varicella or 72 hours in Herpes Zoster, the 
treatment does not work: do not give",Can be taken with or without food.,"High doses (800 mg 5 times a day) can give confusion and hallucinations:
you need to let the patient know.",Kidney disease; dehydration; with Theophylline.,"Tirenedess, headache, rash, nausea, diarrhoea, vomiting.","If given together with Cotrimoxazole, Diclofenac, Gentamicin, 
Ibuprofen, Indomethacin, Meloxicam: increased risk of kidney 
toxicity.",Give only if necessary,Can give,,,
Adrenaline,1 amp = 1 cc = 1 mg.        Dose = 0.01 mg/kg (max 0.5 mg),"To treat severe allergic reactions, anaphylactic shock. Can be used also in severe asthma","- Use 1 cc syringes, to be able to measure well.
- Give IM, not subcutaneously, for better absorption.
- For babies: dilute the dose with NSS 0.2 cc.
- You can repeat this dose several times at 5 minutes intervals, 
until blood pressure and pulse rate are back to normal.",,,,,,Give only if necessary,Can give,,,
Albendazole,1 tab = 200 mg,"Anti worm (roundworms, pinworms, whipworms, hookworms).
NOT effective for FLAT worms (use Praziquantel or Niclosamide).
Can be used also for other worms infections, like Giardia, Cutaneous Larva Migrans,
Visceral Larva Migrans, Gnathostoma, Strongyloides, Neurocysticercosis.","- Common worms:
In heavy infections, repeat the dose after a few days - 1 week.
To prevent heavy loads, give every 4 - 6 months to everybody
in a community.
- Neurocysticercosis:
If you suspect Neurocysticercosis is better to refer to hospital
where they can do a CT scan to confirm diagnosis. 
It is advised to give in combination with Praziquantel. 
Start therapy with Prednisolone a few days before.","- Can be taken with or without food.
- If taken with fatty meal, absorption is increased by 5 times
- Tablets can be crushed and mixed with food.
- Tablets can be chewed or swallowed whole.",,,"Nausea, vomiting, abdominal pain.",,Do not give first 3 months.,Can give,,,
Aluminium Hydroxide,1 tab = 500 mg,To relieve gastric upset.,"Aluminium will only help the symptoms, it will not cure the 
disease. The symptoms will continue to come back if the cause 
is not found and treated.",Take after meals and at bedtime.,,,"Constipation, nausea, vomiting.","Aluminium decreases absorption of: Ciprofloxacin,
Chloroquine, Doxycycline, Isoniazid, Norfloxacin, Phenytoin,
Rifampicin, Tetracycline.",Can give,Can give,,,
Amitriptyline,1 tab = 10 or 25 or 50 mg,Anti-depressant (second choice after Fluoxetine and Sertraline).,"- Do not give many tablets to a patient if you can not supervise,
because taking an overdose of this medicine can cause death. 
- Try to follow the patient every week for the first month.
- To stop therapy, reduce slowly by 50 mg every 2 - 3 weeks.",Better to take with food to decrease gastric upset.,"Old people have more risk of side-effects; heart disease;
epilepsy, chronic constipation.","If patient is actively trying to kill himself; together with Co-Artem; 
together with Tramadol; to patients with heart disease","Sedation, feeling sleepy, abdominal pain, tiredeness, 
hypotension, oedema, palpitations, agitation, blurred vision, 
confusion, rash, constipation, urinary retention, dizziness, 
dry mouth, decreased libido.","- Alcohol: more risk of feeling sleepy.
- Carbamazepine, Phenobarbitone, Phenytoin: reduce effect of A.
- A. decreases effect of Carbamazepine, Phenobarbitone, 
Phenytoin. ",Do not give.,Can give,,,
Amlodipine,1 tab = 5 mg or 10 mg,To treat High Blood Pressure (Hypertension),"- Increase dose after 2 weeks in steps of 2.5 mg until BP is normal.
- Can be given in combination with Enalapril and
Hydrochlorothiazide.",Can be taken with or without food.,Old people.,"- If you hear a loud heart murmur (can not give in severe aortic 
stenosis): choose a different drug.
- Together with Mefloquine","Oedema, dizziness, headache, cramps.",Amytriptiline: increases risk of hypotension.,Only if necessary (2nd choice),Can give,See Hydrochlorothiazide.,,
Amoxicillin,1 caps = 250 or 500 mg,"Antibiotic for respiratory, urinary, intestinal, oral and skin bacterial infections.","For how long to give depends on the severity of the disease: from 5 days
to several weeks.","- Can be taken with food or without food.
- For children can be mixed with milk, cold drink or juice.","History of allergy (Amoxicillin, Ampicillin, Penicillin, Cloxacillin).",,,,Can give,Can give,,,
Ampicillin ,1 vial = 1g.  Reconstitute one vial with 4.6 cc of sterile water ! 1 cc = 200 mg.  Dose for severe infections: 50 mg/kg,"Antibiotic to treat severe bacterial infections (usually used together with Gentamicin):
meningitis, severe pneumonia, sepsis, severe bone infections, severe bowel infections,
severe trauma.","- If possible, for children calculate by mg/kg.
- When patient is better, give half the dose.
- You can use Ceftriaxone instead of Ampicillin+Gentamicin",,,,,,Can give,Can give,,,
Artemether - Lumefantrine.    NOT ON DRUG LIST.  APART OF MALARIA PROTOCOLS,,,"In Pregnant women there is high failure (20%)
***GIVE FOR 5 DAYS","If possible give together with 50 cc of milk or some oily or fried food:
(much better absorbed).",,,,,,,,,
Artesunate.   NOT ON DRUG LIST.  APART OF MALARIA PROTOCOLS,,,It can be difficult to find tablets containing only Artesunate.,,,,"Sometimes rash, fever.",,Can give,Can give,,,
