MEDICATION,DOSAGE_EN,DOSAGE_KA,DESCRIPTION_EN,DESCRIPTION_KA,NOTE_EN,FOOD_EN,BE_CAREFUL_EN,DO_NOT_GIVE_EN,SIDE_EFFECTS_EN,INTERACTIONS_EN,PREGNANCY_EN,BREAST_FEEDING_EN,IMPORTANT_EN,LENGTH_OF_TREATMENT_EN,DOXY_AND_CHILDREN_EN,NOTE_KA,FOOD_KA,BE_CAREFUL_KA,DO_NOT_GIVE_KA,SIDE_EFFECTS_KA,INTERACTIONS_KA,PREGNANCY_KA,BREAST_FEEDING_KA,IMPORTANT_KA,LENGTH_OF_TREATMENT_KA,DOXY_AND_CHILDREN_KA
Medication,Dosage,Dosage,Description,Description,Note,Food,Be Careful,Do not give,Side Effects,Interactions,Pregnancy,Breast Feeding,Important,Length of Treatment,Doxy and Children,မၤနီၣ်,တၢ်အီၣ်,ပလီၢ်သး,တဘၣ်ဟ့ၣ်,တၢ်ကဲထီၣ်ထွဲသ့,ကသံၣ်မၤတၢ်ကဒဲကဒဲ,ၦၤမိၢ်ဒၢ,မိၢ်လၢဟ့ၣ်ဒုးအီဖိနုၢ်ထံ,အရ့ဒိၣ်,တၢ်ဟ့ၣ်ကသံၣ်အဆၢကတီၢ်ယံာ်,(Doxy) ဒီးဖိသၣ်
placebex,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Acyclovir,1 tab = 200 or 400 or 800 mg,၁ ဖျၢၣ်=၂၀၀ (မ့) ၄၀၀ (မ့) ၈၀၀ mg,"Anti-viral: to treat Herpes Virus Diseases (Herpes Simplex, Herpes Zoster).",ကသံၣ်မၤသံယုၢ်အ့ၣ်(၀ံၤရူစ်)ဃၢ်တၢ်ဆါတဖၣ် (ဟ့ဖၢၣ်စ်စ့ဖျဲၣ်၊ဟ့ဖၢၣ်စ်စီစ်ထၢၣ်)။,"Treatment need to be started very soon after the symptoms. 
 If started later than 24 hours in Varicella or 72 hours in Herpes Zoster, the treatment does not work: do not give",Can be taken with or without food.,High doses (800 mg 5 times a day) can give confusion and hallucinations: you need to let the patient know.,Kidney disease; dehydration; with Theophylline.,"Tirenedess, headache, rash, nausea, diarrhoea, vomiting.","If given together with Cotrimoxazole, Diclofenac, Gentamicin, Ibuprofen, Indomethacin, Meloxicam: increased risk of kidney toxicity.",Give only if necessary,Can give,,,,"တၢ်ကဘၣ်ဟ့ၣ်ကသံၣ်တဘျီဃီဖဲတၢ်ဆါအပနီၣ်ဖျါထီၣ်အခါလီၤ။
 တၢ်မ့ၢ်စးထီၣ်ဟ့ၣ်ကသံၣ်လၢ၂၄နၣ်ရံၣ်၀ံၤအလီၢ်ခံဖဲအဘၣ်၀ဲတၢ်ထီၣ်ထါမ့တမ့ၢ်လၢ၇၂နၣ်ရံၣ်
 ၀ံၤအလီၢ်ခံဖဲအဘၣ်၀ဲယုၢ်အ့ၣ်(ဟၣ်စိၤစ်ထၢၣ်)၀ံၤအလီၢ်ခံကသံၣ်တမၤတၢ်မၤလၢၤဘၣ်=
 တဘၣ်ဟ့ၣ်တဂ့ၤ။တၢ်အီၣ်=",အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,"နကဘၣ်ဒုးသ့ၣ်ညါၦၤဆါတဖၣ်လၢ=တၢ်အီၣ်ကသံၣ်အါ (၈၀၀ ာါ လၢတနံၤယဲၢ်ဘျီ)
 န့ၣ်မၤထၢမံထၢမၣ်ဒီးထံၣ်တမှံတၢ်သ့၀ဲလီၤ။",ကလ့ၢ်တၢ်ဆါ၊ တၢ်ထံသံးနိသံးလၢအအိၣ်၊ ဒီး (Theophylline) ။,လီၤဘှံးလီၤတီၤ၊ ခိၣ်သၣ်ဃံဆါ၊ လိၤဖှိၣ်ထီၣ်၊ သးကလဲၤ၊ အ့ၣ်လူ။ ဘှီး။,"နမ့ၢ်ဟ့ၣ်ဃုာ်တွဲဃုာ်ဒီးကသံၣ် (Cotrimoxazole), (Diclofenac),
 (Gentamicin), (Ibuprofen), (Indomethacin), (Meloxicam) တဖၣ်အံၤန့ၣ်ကမၤဘၣ်ဒိအါထီၣ်၀ဲကလ့ၢ်တၢ်စုၣ်တၢ်ပျၢ်တဖၣ်လီၤ။",မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Adrenaline,"1:1,000 1 amp = 1 cc = 1 mg. Dose = 0.01 mg/kg (max 0.5 mg)",၁ ပလီ = ၁ cc =၁ mg,"To treat severe allergic reactions, anaphylactic shock. Can be used also in severe asthma",ကသံၣ်ကူစါလၢတၢ်ဆါတကလုာ်လၢအဟဲကဲထီၣ်သးလၢဂာ်တဖီးတၢ်ဒိဆၢက့ၤတၢ်၊ ဂာ်တဖီးဒီးတၢ်တမံၤမံၤ(ရှီၣ်)။ သူအီၤသ့လၢၦၤလၢအိၣ်ဒီးတၢ်သးဘံးတၢ်ဆါနးနးသ့ၣ်တဖၣ်။ ဒိးစ် = ၁ kg နၢ့်ဟ့ၣ် ၀ႉ၀၁ mg (ဒိၣ်ကတၢၢ် ၀ႉ၅ mg),"- Use 1 cc syringes, to be able to measure well.
 - Give IM, not subcutaneously, for better absorption.
 - For babies: dilute the dose with NSS 0.2 cc.
 - You can repeat this dose several times at 5 minutes intervals, until blood pressure and pulse rate are back to normal.",,,,,,Give only if necessary,Can give,,,,"- တၢ်သူ (syringe) ၁ cc န့ၣ်မ့ၢ်ဒ်သိးတၢ်ထိၣ်ဒွးကွၢ်ကသံၣ်ကဘၣ်၀ဲဂ့ၤဂ့ၤ
 အဂီၢ်လီၤ။
 - ဆဲးကသံၣ်လၢညၣ်ကျါလၢကဟံးန့ၢ်တၢ်သဟီၣ်ဂ့ၤဒိၣ်နၢ့်ဒံး
  ဟ့ၣ်လၢဘ့ၣ်ဖီလာ်(သိကျါ)လီၤ။
 - လၢဖိသၣ်အီနုၢ်ဂီၢ် ကျဲၣ်ကျီကသံၣ်လၢ (NSS) ၀ႉ၂ cc ။
 - မ့ၢ်လိၣ်ဟ့ၣ်ကသံၣ်လၢအသီတဘျီန့ၣ်တၢ်ဆၢကတီၢ်ကဘၣ်ယံၤ၀ဲ၅မံးနံး
 တဘျီဘၣ်တဘျီအဘၢၣ်စၢၤတုၤလၢသွံၣ်တၢ်ဆီၣ်သနံးဒီးသွံၣ်စံၣ်ဖုက့ၤဘၣ်
 လီၢ်ဘၣ်စး။",,,,,,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Albendazole,1 tab = 200 mg,၁ ဖျၢၣ် = ၂၀၀ mg,"Anti worm (roundworms, pinworms, whipworms, hookworms).
NOT effective for FLAT worms (use Praziquantel or Niclosamide).
Can be used also for other worms infections, like Giardia, Cutaneous Larva Migrans,
Visceral Larva Migrans, Gnathostoma, Strongyloides, Neurocysticercosis.","ကသံၣ်ထိးကလဲာ်လၢ ထီးကလဲာ်ဖျၢၣ်၊ ထီးကလဲာ်ထးဘျး၊ ထီးကလဲာ်ပျံၤဖျ့၊ ထီးကလဲာ်နီၣ်ကွးသ့ၣ် တဖၣ်။
 တမ့ၢ်လၢထိးကလဲာ်အဘံၣ်ဂီၢ်ဘၣ်။ ထိးကလဲာ်အဘံၣ်န့ၣ်ကဘၣ်သူကသံၣ် (Praziquantel) မ့တမ့ၢ် (Niclosamide) ။ သူသ့စ့ၢ်ကီးလၢထီးကလဲာ်တၢ်ဃၢ်နုာ်အဂၤတဖၣ် (ကၠၣ်ဒံယၣ်ဃၢ်)၊ထိးကလဲာ်လၢဟးလၢဖံးဘ့ၣ်လိၤ၊ ထိးကလဲာ်လၢဟးလၢမိၢ်ၦၢ်ပူၤ၊ ထိးကလဲာ်လၢဟးလၢတၢ်ကမဲာ်လိၤ၊ (စထြီးကၠံၣ်လီဒံၣ်ဃၢ်)၊ ထိးကလဲာ်နုာ်လၢခိၣ်နုာ်ပူၤအဂီၢ် (နယူၤရိၤစဲစထံစၢၤခိၤစံၣ်)။","- Common worms:
 In heavy infections, repeat the dose after a few days - 1 week.
 To prevent heavy loads, give every 4 - 6 months to everybody in a community.
 - Neurocysticercosis:
 If you suspect Neurocysticercosis is better to refer to hospital where they can do a CT scan to confirm diagnosis. 
 It is advised to give in combination with Praziquantel. 
 Start therapy with Prednisolone a few days before.","- Can be taken with or without food.
 - If taken with fatty meal, absorption is increased by 5 times
 - Tablets can be crushed and mixed with food.
 - Tablets can be chewed or swallowed whole.",,,"Nausea, vomiting, abdominal pain.",,Do not give first 3 months.,Can give,,,,"- လၢထိးကလဲာ်အါကလုာ်တဖၣ်အဂီၢ် တၢ်ဃၢ်နုာ်အနးန့ၣ်ဟ့ၣ်ကဒါက့ၤကသံၣ်(ဒိးစ်)လၢစှၤသီ၀ံၤအ-လီၢ်ခံ-၁နွံ။ လၢတၢ်တြီဆၢဃာ်ထိးကလဲာ်အိၣ်အါဟ့ၣ်လီၤၦၤကညီလၢၦၤသ၀ီပူၤ ၄-၆လါ တဘျီကိးဂၤဒဲးထီဘိန့ၣ်တက့ၢ်။
 - ထိးကလဲာ်နုာ်လၢခိၣ်နုာ်ပူၤအဂီၢ် (နယူၤရိၤစဲစထံစၢၤခိၤစံၣ်)- နမ့ၢ်ဆိကမိၣ်လၢအမ့ၢ်ထိးကလဲာ်နုာ်လၢခိၣ်နုာ်ပူၤန့ၣ်ဆှၢလၢတၢ်ဆါဟံၣ် ဒ်သိးကမၤလီၤတံၢ်၀ဲတၢ်ဆါလၢတၢ်ဒိစံထံစကဲတက့ၢ်။ အ၀ဲအံၤမ့ၢ်တၢ်ဟ့ၣ်ကူၣ်လၢနကဟ့ၣ်တွဲဃုာ်","- အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။
 - တၢ်မ့ၢ်အီၣ်ဃုာ်အီၤဒီးတၢ်အီၣ်တၢ်အီလၢအသိအိၣ်န့ၣ်အ၀ဲကမၤတၢ်ဂ့ၤ၀ဲ ယဲၢ်ဘျီ။
 - ကသံၣ်ဖျၢၣ်အံၤတၢ်မၤဘျဲးဒီးဃါဃုာ်ဒီးတၢ်အီၣ်သ့၀ဲလီၤ။
 - ကသံၣ်ဖျၢၣ်အံၤတၢ်အ့ၣ်အီၣ်အီၤဒီးယုၢ်လီၤအီၤဒီဖျၢၣ်သ့၀ဲလီၤ။",,,သးကလဲၤ၊ ဘှီး၊ ဟၢဖၢဆါ။,,ဒၢထီၣ်သီတုၤ ၃လါန့ၣ်တဘၣ်ဟ့ၣ်ဘၣ်။,ဟ့ၣ်သ့။,,,
Aluminium Hydroxide,1 tab = 500 mg,၁ ဖျၢၣ် = ၅၀၀ mg,To relieve gastric upset.,ကသံၣ်မၤကိၢ်ညၢ်ထီၣ်ကဖုဆါ။,"Aluminium will only help the symptoms, it will not cure the disease. The symptoms will continue to come back if the cause is not found and treated.",Take after meals and at bedtime.,,,"Constipation, nausea, vomiting.","Aluminium decreases absorption of: Ciprofloxacin, Chloroquine, Doxycycline, Isoniazid, Norfloxacin, Phenytoin, Rifampicin, Tetracycline.",Can give,Can give,,,,ကသံၣ် (အလူၢ်မံၣ်နံၣ်ယၣ်)နၣ့် မၤကိညၢ်လီၤတၢ်ဆါအပနီၣ်တဘျီဂီၢ်တမၤ ဘျါတၢ်ဆါဘၣ်မ့ၢ်တဒိးနၢ့်ဘၣ်တၢ်ကူစါယါဘျါလၢအဘၣ်ဒီးတၢ်ဆါ ကဟဲက့ၤဆါလၢအသီတဘျီလီၤ။,အီၣ်လၢအီၣ်တၢ်အီၣ်၀ံၤအလီၢ်ခံဒီးတချုးမံအဆၢကတီၢ်။,,,ဟၢဖၢကျၢၤ၊ သးကလဲၤ၊ ဘှီး။,"မၤလီၤစှၤကသံၣ်သ့ၣ်တဖၣ်အံၤ (Ciprofloxacin)၊ (Chloroquine)၊
 (Doxycycline)၊(Isoniazid)၊ (Norfloxacin)၊ (Phenytoin)၊
 (Rifampicin)၊ (Tetracycline) အသဟီၣ်။",ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Amitriptyline,1 tab = 10 or 25 or 50 mg,၁ ဖျၢၣ် = ၁၀ (မ့) ၂၅ (မ့) ၅၀ mg,Anti-depressant (second choice after Fluoxetine and Sertraline).,ကသံၣ်ကူစါတၢ်သးဟးဂီၤ(တၢ်ဃုထၢကျဲခံဘိတဘိဖဲဟ့ၣ်၀ (Fluoxetine) ဒီး (Sertraline) ၀ံၤအလီၢ်ခံ)။,"- Do not give many tablets to a patient if you can not supervise, because taking an overdose of this medicine can cause death. 
 - Try to follow the patient every week for the first month.
 - To stop therapy, reduce slowly by 50 mg every 2 - 3 weeks.",Better to take with food to decrease gastric upset.,"Old people have more risk of side-effects; heart disease; epilepsy, chronic constipation.",If patient is actively trying to kill himself; together with Co-Artem; together with Tramadol; to patients with heart disease,"Sedation, feeling sleepy, abdominal pain, tiredeness, hypotension, oedema, palpitations, agitation, blurred vision, confusion, rash, constipation, urinary retention, dizziness, dry mouth, decreased libido.","- Alcohol: more risk of feeling sleepy.
 - Carbamazepine, Phenobarbitone, Phenytoin: reduce effect of A.
 - A. decreases effect of Carbamazepine, Phenobarbitone, Phenytoin.",Do not give.,Can give,,,,"- တဘၣ်ဟ့ၣ်ၦၤဆါတဖၣ်ကသံၣ်ဖျၢၣ်အံၤအါအါဖဲနကွၢ်ထွဲအီၤဖဲအအီၣ်ယုၢ်လီၤ ကသံၣ်အခါတသ့ဘၣ်တက့ၢ်ႉ ခီဖျိကသံၣ်အံၤတၢ်အီအီၤမ့ၢ်အါန့ၣ်ၦၤသံ၀ဲသ့။
 - ရုာ်ကျဲးစၢးလူၤထွဲမၤလီၤတံၢ်ၦၤဆါတဖၣ်ကိးနွံဒဲးလၢတလါအတီၢ်ပူၤတက့ၢ်။
 - လၢတၢ်မၤပတုာ်ကသံၣ်အံၤအဂီၢ်မၤလီၤစှၤအီၤကယီကယီလၢ ၅၀ mg T7လၢ၂-၃နွံတဘျီ။",ဂ့ၤလၢကဘၣ်အီၣ်ဃုာ်ဒီးတၢ်အီၣ်ဒ်သိးကမၤလီၤစှၤ၀ဲတၢ်ကဖုဆါအဂီၢ်လီၤ။,ၦၤသးၦၢ်တဖၣ်န့ၣ်ကန့ၢ်ဘၣ်တၢ်ကဲထီၣ်ထွဲအခံနးဒိၣ်၊ သးတၢ်ဆါ တၢ်ဆါထိးပျုၢ်၊ တၢ်ဟၢဖၢကျၢၤတၢ်ဆါလၢအယံာ်အထၢ။,တဘၣ်ဟ့ၣ်ၦၤဆါလၢအအဲၣ်ဒိးမၤသံလီၤသးတဖၣ်ဘၣ်၊ တဘၣ်ဟ့ၣ်ဃုာ်ဒီး (Co-Artem)၊ တဘၣ်ဟ့ၣ်ဃုာ်ဒီး (Tramadol)၊ တဘၣ်ဟ့ၣ်ၦၤဆါလၢအအိၣ်ဒီး သးတၢ်ဆါတဖၣ်ဘၣ်။,ကသံၣ်မံ၊ အဲၣ်ဒိးမံခ့၊ ဟၢဖၢဆါ၊ လီၤဘှံး၊ သွံၣ်တၢ်ဆီၣ်သနံးစှၤလီၤ၊ ကဘု၊ သးကနိး၊ ပတုာ်တၢ်ဟူးတၢ်ဂဲၤတန့ၢ်ဘၣ်၊ မဲာ်ကဒု၊ ထၢမံထၢမၣ်၊ လိၤဖှိၣ်ထီၣ်၊ ဟၢဖၢကျၢၤ၊ ဆံၣ်သံ၊ ခိၣ်မူၤ၊ ကိးပူၤဃ့ထီ၊ မၤလီၤစှၤတၢ်သးကတၢ။,"- တၢ်မူၤတၢ်ဘှီးမံခ့နးထီၣ်။ - (Carbamazepine)၊ (Phenobarbitone)၊ (Phenytoin) ကသံၣ်တဖၣ်အံၤ မၤလီၤစှၤ၀ဲ (Amitryptiline) အသဟီၣ်။ - (Amitryptiline)အံၤမၤလီၤစှၤ၀ဲကသံၣ် (Carbamazepine)၊
 (Phenobarbitone)၊ (Phenytoin) တဖၣ်အံၤအသဟီၣ်။",တဘၣ်ဟ့ၣ်ဘၣ်။,ဟ့ၣ်သ့။,,,
Amlodipine,1 tab = 5 mg or 10 mg,၁ ဖျၢၣ် = ၅ (မ့) ၁၀ mg,To treat High Blood Pressure (Hypertension),ကသံၣ်ကူစါသွံၣ်တၢ်ဆီၣ်သနံးထီၣ်။,"- Increase dose after 2 weeks in steps of 2.5 mg until BP is normal.
- Can be given in combination with Enalapril and Hydrochlorothiazide.",Can be taken with or without food.,Old people.,"- If you hear a loud heart murmur (can not give in severe aortic stenosis): choose a different drug.
- Together with Mefloquine","Oedema, dizziness, headache, cramps.",Amytriptiline: increases risk of hypotension.,Only if necessary (2nd choice),Can give,See Hydrochlorothiazide.,,,- ၂နွံ၀ံၤအလီၢ်ခံန့ၣ်မၤအါထီၣ်ကသံၣ်အသဟီၣ်တုၤ၂ႉ၅ mg အပတီၢ်တုၤလၢ သွံၣ်တၢ်ဆီၣ်သနံးအိၣ်က့ၤဘၣ်လီၢ်ဘၣ်စးတက့ၢ်။ - ဟ့ၣ်တွဲဃုာ်ဒီးကသံၣ (Enalapril) ဒီး (Hydrochlorothiazide) တဖၣ်အံၤ သ့၀ဲလီၤ။,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,ၦၤသးၦၢ်။,"- ဖဲနနၣ်ဟူအသးဖျၢၣ်ဖူသီၣ်ဒိၣ်ဒိၣ် (တဘၣ်ဟ့ၣ်ၦၤလၢအအိၣ်ဒီး သးသွံၣ်ကျိၤအံၣ်
 တၢ်ဆါလၢအနးတဖၣ်ဘၣ် - (အါအိထံၣ် စတဲနိစံၣ်) ဟ့ၣ်လၢကသံၣ်အဂၤ။
 - ဃုာ်ဒီး (Mefloquine) တက့ၢ်။",ကဘု၊ ခိၣ်မူၤ၊ ခိၣ်ဆါ၊ ယုၢ်ထီၣ်။,-(Amytriptiline)မၤနးထီၣ်၀ဲၦၤလၢအိၣ်ဒီးသွံၣ်တၢ်ဆီၣ်သနံးစှၤလီၤ။,မ့ၢ်လိၣ်ဘၣ်နီၢ်ကီၢ်(တၢ်ဃုထၢကျဲခံဘိတဘိ)။,ဟ့ၣ်သ့။,ကွၢ်လၢ (Hydrochlorothiazide) ။,,
Amoxicillin,1 caps = 250 or 500 mg,၁ ဖျၢၣ် = ၂၅၀ (မ့) ၅၀၀ mg,"Antibiotic for respiratory, urinary, intestinal, oral and skin bacterial infections.",ကသံၣ်မၤသံ(ဘၣ်ထံရံယၤ)ဃၢ်နုာ်- လၢကလံၤကျိၤ၊ ဆံၣ်ကျိၤ၊ ၦံာ်ဖိ၊တၢ်အီၣ်ကျိၤဒီးဖံးဘ့ၣ်တၢ်ဆါတဖၣ်။,For how long to give depends on the severity of the disease: from 5 days to several weeks.,"- Can be taken with food or without food.
- For children can be mixed with milk, cold drink or juice.","History of allergy (Amoxicillin, Ampicillin, Penicillin, Cloxacillin).",,,,Can give,Can give,,,,တၢ်ဆၢကတီၢ်ယံၤလၢကဘၣ်ဟ့ၣ်ကသံၣ်နၣ့်ဒိသန့ၤထီၣ်သးလၢတၢ်ဆါအနးဒီးအတနး ဖီခိၣ်ဘၣ်ဟ့ၣ်၅သီတုၤလၢအါနွံနၣ့်လီၤ။,"- အီၣ်ဃုာ်ဒီးတၢ်အီၣ်မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲလီၤ။
 - လၢဖိသၣ်တဖၣ်အဂီၢ်န့ၣ်နကျဲၣ်ကျီဃုာ်ဒီးတၢ်နုၢ်ထံ၊ တၢ်ခုၣ်ထံမ့တမ့ၢ်တၢ်ဆံၣ်ထံသ့။","ၦၤလၢအဂာ်တဖီးလိာ်ဒီးကသံၣ် f (Amoxicillin)၊ (Ampicillin)၊ (Penicillin)၊
 (Cloxacillin) သ့ၣ်တဖၣ်နၣ့်လီၤ။",,,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Ampicillin,1 vial = 1g.,၁ ပလီ = ၁ g,"Antibiotic to treat severe bacterial infections (usually used together with Gentamicin):meningitis, severe pneumonia, sepsis, severe bone infections, severe bowel infections,severe trauma. 
Reconstitute one vial with 4.6 cc of sterile water -> 1 cc = 200 mg.
Dose for severe infections: 50 mg/kg",ကသံၣ်မၤသံ(ဘၣ်ထံရံယၤ)ဃၢ်နုာ်လၢအနးနးတဖၣ်၊ အါတက့ၢ်ဟ့ၣ်ဃုာ်ဒီး (Gentamicin) ခိၣ်နူာ် သလီတၢ်ဃၢ်နုာ်၊ ပသိၣ်တၢ်ဃၢ်နုာ်လၢအနး၊ တၢ်ဃၢ်နုာ်လၢသွံၣ်ကျါ၊ ဃံတၢ်ဃၢ်နုာ်လၢအနး၊ ၦံာ်တၢ်ဃၢ်နုာ်လၢအနး၊လၢတၢ်ဘၣ်ဒိဘၣ်ထံးလၢအနး။ ဒၢနုာ်ထံလၢတၢ်မၤသံအဃၢ်၀ံၤ ၄ႉ၆ cc လၢပလီပူၤ -> ၁ cc =၂၀၀ mg ကသံၣ်(ဒိးစ်)လၢတၢ်ဃၢ်နုာ်အနး ၁ kg နၢ့်ဟ့ၣ် ၅၀ mg,"- If possible, for children calculate by mg/kg.
- When patient is better, give half the dose.
- You can use Ceftriaxone instead of Ampicillin+Gentamicin",,,,,,Can give,Can give,,,,"- မၢ့်သ့လၢဖိသၣ်ဂီၢ်ဒွးနၣ့်အီၤကသံၣ် (mg) ဒီးအသယၢၢ် (kg) အဖီခိၣ်နၣ့်တက့ၢ်။
 - ၦၤဆါတၢ်အိၣ်သးမ့ၢ်ဂ့ၤထီၣ်ဒီးဟ့ၣ်အီၤတ၀ာ်န့ၣ်တက့ၢ်။
 - သူကသံၣ် (Ceftriaxone) သ့လၢကသံၣ် (Ampicillin)+(Gentamicin) အခၢၣ်စးနၣ့်လီၤ။",,,,,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
