MEDICATION,NOTE,FOOD,BE_CAREFUL,DO_NOT_GIVE,SIDE_EFFECTS,INTERACTIONS,PREGNANCY,BREAST_FEEDING,IMPORTANT,
"a
Acyclovir, test $drugimage_0123456789.format$""


abce
","Treatment need to be started very soon after the symptoms.
If started later than 24 hours in Varicella or 72 hours in Herpes Zoster, the 
treatment does not work: do not give",Can be taken with or without food.,"High doses (800 mg 5 times a day) can give confusion and hallucinations:
you need to let the patient know.",Kidney disease; dehydration; with Theophylline.,"Tirenedess, headache, rash, nausea, diarrhoea, vomiting.","If given together with Cotrimoxazole, Diclofenac, Gentamicin, 
Ibuprofen, Indomethacin, Meloxicam: increased risk of kidney
toxicity.",Give only if necessary,Can give,
Adrenaline,"- Use 1 cc syringes, to be able to measure well.
- Give IM, not subcutaneously, for better absorption.
- For babies: dilute the dose with NSS 0.2 cc.
- You can repeat this dose several times at 5 minutes intervals, 
until blood pressure and pulse rate are back to normal.",,,,,,Give only if necessary,,
Albendazole,"- Common worms:
In heavy infections, repeat the dose after a few days - 1 week.
To prevent heavy loads, give every 4 - 6 months to everybody
in a community.
- Neurocysticercosis:
If you suspect Neurocysticercosis is better to refer to hospital
where they can do a CT scan to confirm diagnosis. 
It is advised to give in combination with Praziquantel. 
Start therapy with Prednisolone a few days before.","- Can be taken with or without food.
- If taken with fatty meal, absorption is increased by 5 times
- Tablets can be crushed and mixed with food.
- Tablets can be chewed or swallowed whole.",,,"Nausea, vomiting, abdominal pain.",,Do not give first 3 months.,Can give,
Aluminium Hydroxide,"Aluminium will only help the symptoms, it will not cure the 
disease. The symptoms will continue to come back if the cause 
is not found and treated.",Take after meals and at bedtime.,,,"Constipation, nausea, vomiting.","Aluminium decreases absorption of: Ciprofloxacin,
Chloroquine, Doxycycline, Isoniazid, Norfloxacin, Phenytoin,
Rifampicin, Tetracycline.",Can give,Can give,.
Amitryptyline,"- Do not give many tablets to a patient if you can not supervise,
because taking an overdose of this medicine can cause death. 
- Try to follow the patient every week for the first month.
- To stop therapy, reduce slowly by 50 mg every 2 - 3 weeks.",Better to take with food to decrease gastric upset.,"Old people have more risk of side-effects; heart disease;
epilepsy, chronic constipation.","If patient is actively trying to kill himself; together with Co-Artem; 
together with Tramadol; to patients with heart disease","Sedation, feeling sleepy, abdominal pain, tiredeness, 
hypotension, oedema, palpitations, agitation, blurred vision, 
confusion, rash, constipation, urinary retention, dizziness, 
dry mouth, decreased libido.","- Alcohol: more risk of feeling sleepy.
- Carbamazepine, Phenobarbitone, Phenytoin: reduce effect of A.
- A. decreases effect of Carbamazepine, Phenobarbitone, 
Phenytoin. ",Do not give.,Can give,
Amlodipine,"- Increase dose after 2 weeks in steps of 2.5 mg until BP is normal.
- Can be given in combination with Enalapril and
Hydrochlorothiazide.",Can be taken with or without food.,Old people.,"- If you hear a loud heart murmur (can not give in severe aortic 
stenosis): choose a different drug.
- Together with Mefloquine","Oedema, dizziness, headache, cramps.",Amytriptiline: increases risk of hypotension.,Only if necessary (2nd choice),Can give,
Amoxicillin,"For how long to give depends on the severity of the disease: from 5 days
to several weeks.","- Can be taken with food or without food.
- For children can be mixed with milk, cold drink or juice.","History of allergy (Amoxicillin, Ampicillin, Penicillin, Cloxacillin).",,,,Can give,Can give,
Ampicillin ,"- If possible, for children calculate by mg/kg.
- When patient is better, give half the dose.
- You can use Ceftriaxone instead of Ampicillin+Gentamicin",,,,,,Can give,Can give,
Artemether - Lumefantrine,"In Pregnant women there is high failure (20%)
***GIVE FOR 5 DAYS","If possible give together with 50 cc of milk or some oily or fried food:
(much better absorbed).",,,,,,,
Artesunate,It can be difficult to find tablets containing only Artesunate.,,,,"Sometimes rash, fever.",,Can give,Can give,
